dog_id,asc_peak_slopes_A,asc_peak_slopes_C,avg_pres_A,avg_pres_C,contact_durations_A,contact_durations_C,des_peak_slopes_A,des_peak_slopes_C,impulses_A,impulses_C,pace,paw_area_A,paw_area_C,ratio_pres2area_A,ratio_pres2area_C,std_asc_peak_slopes_A,std_asc_peak_slopes_C,std_avg_pres_A,std_avg_pres_C,std_contact_durations_A,std_contact_durations_C,std_des_peak_slopes_A,std_des_peak_slopes_C,std_impulses_A,std_impulses_C,std_paw_area_A,std_paw_area_C,std_ratio_pres2area_A,std_ratio_pres2area_C,std_step_lengths_A,std_step_lengths_C,std_vert_forces_A,std_vert_forces_C,step_lengths_A,step_lengths_C,steps_A,steps_C,vert_forces_A,vert_forces_C,Alter,Gewicht,sex,neutered,Rückenlänge,Schulterhöhe,BCS,target
T0358265,1.658,1.51,9.62,7.401,0.292,0.298,1.186,0.977,97.353,58.484,4.89,31.059,24.254,0.313,0.306,0.25,0.238,0.57,0.33,0.033,0.017,0.194,0.102,9.247,5.812,0.844,1.645,0.024,0.024,0.049,0.022,14.268,15.247,0.535,0.528,8.0,8.0,324.162,203.332,11,22.0,1,1,18.0,25.0,3.0,1
T0358265,1.658,1.51,9.62,7.401,0.292,0.298,1.186,0.977,97.353,58.484,4.89,31.059,24.254,0.313,0.306,0.25,0.238,0.57,0.33,0.033,0.017,0.194,0.102,9.247,5.812,0.844,1.645,0.024,0.024,0.049,0.022,14.268,15.247,0.535,0.528,8.0,8.0,324.162,203.332,11,24.2,1,0,52.0,67.0,4.0,1
T0358265,1.794,1.249,9.687,7.03,0.31,0.305,1.229,0.915,104.001,59.684,4.5,31.042,24.065,0.311,0.309,0.31,0.474,0.323,1.036,0.049,0.092,0.332,0.376,13.36,21.896,0.69,5.003,0.008,0.073,0.038,0.039,9.922,47.556,0.54,0.491,8.0,8.0,330.348,185.01,11,22.0,1,1,18.0,25.0,3.0,1
T0358265,1.794,1.249,9.687,7.03,0.31,0.305,1.229,0.915,104.001,59.684,4.5,31.042,24.065,0.311,0.309,0.31,0.474,0.323,1.036,0.049,0.092,0.332,0.376,13.36,21.896,0.69,5.003,0.008,0.073,0.038,0.039,9.922,47.556,0.54,0.491,8.0,8.0,330.348,185.01,11,24.2,1,0,52.0,67.0,4.0,1
T0358265,2.267,1.67,9.748,8.146,0.26,0.24,1.49,1.511,101.17,58.293,5.51,33.826,26.644,0.281,0.289,0.556,0.241,1.05,0.427,0.032,0.011,0.355,0.228,8.154,4.254,2.062,1.881,0.047,0.035,0.031,0.024,29.314,11.135,0.613,0.593,7.0,7.0,381.774,243.578,11,22.0,1,1,18.0,25.0,3.0,1
T0358265,2.267,1.67,9.748,8.146,0.26,0.24,1.49,1.511,101.17,58.293,5.51,33.826,26.644,0.281,0.289,0.556,0.241,1.05,0.427,0.032,0.011,0.355,0.228,8.154,4.254,2.062,1.881,0.047,0.035,0.031,0.024,29.314,11.135,0.613,0.593,7.0,7.0,381.774,243.578,11,24.2,1,0,52.0,67.0,4.0,1
T0358265,1.385,1.32,9.465,7.686,0.3,0.302,1.382,1.052,102.51,61.117,4.6,31.802,23.931,0.299,0.317,0.312,0.343,0.53,0.574,0.03,0.064,0.389,0.239,15.588,7.871,2.775,0.705,0.029,0.032,0.044,0.027,31.546,11.746,0.546,0.527,7.0,8.0,329.203,198.58,11,22.0,1,1,18.0,25.0,3.0,1
T0358265,1.385,1.32,9.465,7.686,0.3,0.302,1.382,1.052,102.51,61.117,4.6,31.802,23.931,0.299,0.317,0.312,0.343,0.53,0.574,0.03,0.064,0.389,0.239,15.588,7.871,2.775,0.705,0.029,0.032,0.044,0.027,31.546,11.746,0.546,0.527,7.0,8.0,329.203,198.58,11,24.2,1,0,52.0,67.0,4.0,1
T0358265,1.358,1.286,9.504,7.599,0.308,0.305,1.056,0.87,101.108,57.608,4.63,32.162,23.21,0.298,0.342,0.296,0.351,0.34,0.922,0.035,0.058,0.258,0.348,11.418,18.81,1.345,6.999,0.022,0.6,0.03,0.04,7.398,58.281,0.536,0.513,8.0,9.0,328.156,185.462,11,22.0,1,1,18.0,25.0,3.0,1
T0358265,1.358,1.286,9.504,7.599,0.308,0.305,1.056,0.87,101.108,57.608,4.63,32.162,23.21,0.298,0.342,0.296,0.351,0.34,0.922,0.035,0.058,0.258,0.348,11.418,18.81,1.345,6.999,0.022,0.6,0.03,0.04,7.398,58.281,0.536,0.513,8.0,9.0,328.156,185.462,11,24.2,1,0,52.0,67.0,4.0,1
T0368816,0.804,1.002,5.716,5.465,0.262,0.21,1.199,1.44,56.716,33.532,5.86,31.52,25.75,0.182,0.204,0.258,0.253,0.29,0.288,0.036,0.006,0.466,0.223,7.281,5.134,2.617,3.385,0.016,0.038,0.166,0.253,19.324,20.771,0.578,0.602,8.0,6.0,206.962,154.091,7,29.0,1,1,60.0,66.0,5.0,0
T0368816,1.046,1.004,5.984,5.525,0.26,0.22,1.028,1.353,56.053,33.9,5.93,32.901,25.036,0.182,0.216,0.221,0.199,0.135,0.229,0.012,0.009,0.17,0.215,9.207,4.625,4.976,2.465,0.048,0.026,0.04,0.031,32.293,18.697,0.59,0.579,7.0,7.0,219.105,150.085,7,29.0,1,1,60.0,66.0,5.0,0
T0368816,0.624,14.153,3.534,5.512,0.188,0.128,2.875,2.181,27.493,20.0,3.74,21.056,20.37,0.344,0.279,0.124,12.247,2.415,0.782,0.027,0.082,2.804,0.752,27.108,15.945,18.976,5.27,0.195,0.034,0.0,0.0,122.929,43.044,0.095,0.578,2.0,2.0,125.261,124.138,7,29.0,1,1,60.0,66.0,5.0,0
T0368816,1.066,1.454,5.41,5.695,0.22,0.215,1.208,1.208,40.024,43.802,2.81,30.288,32.218,0.18,0.184,0.129,0.277,0.506,0.286,0.01,0.005,0.012,0.218,9.943,10.933,4.362,7.166,0.009,0.032,0.0,0.0,36.356,45.197,0.031,0.049,2.0,2.0,176.267,198.075,7,29.0,1,1,60.0,66.0,5.0,0
T0375593,1.524,1.045,5.326,4.286,0.265,0.22,0.939,0.958,47.183,26.039,5.0,29.154,22.799,0.19,0.186,0.34,0.153,0.417,0.151,0.023,0.041,0.201,0.337,10.61,2.851,2.936,0.629,0.017,0.007,0.155,0.028,28.933,6.079,0.512,0.53,9.0,7.0,165.554,113.556,8,20.0,0,0,55.0,55.0,5.0,1
T0375593,1.617,0.969,5.526,4.377,0.258,0.228,1.156,0.999,50.966,27.689,5.23,29.921,23.569,0.19,0.185,0.177,0.109,0.394,0.217,0.009,0.009,0.106,0.197,4.268,1.302,1.583,0.921,0.017,0.015,0.049,0.015,15.393,3.166,0.491,0.549,8.0,8.0,190.343,119.064,8,20.0,0,0,55.0,55.0,5.0,1
T0375593,1.5,0.88,5.682,4.093,0.28,0.24,1.204,0.826,49.974,28.56,4.76,29.039,23.598,0.194,0.176,0.4,0.12,0.43,0.331,0.019,0.037,0.137,0.213,11.474,7.84,5.221,5.33,0.064,0.093,0.027,0.033,38.476,26.646,0.482,0.506,9.0,9.0,179.591,106.317,8,20.0,0,0,55.0,55.0,5.0,1
T0375593,1.5,0.904,5.392,4.331,0.29,0.25,1.091,0.778,51.187,28.582,4.61,29.39,24.005,0.179,0.174,0.324,0.17,0.429,0.396,0.021,0.026,0.123,0.232,4.342,3.219,1.447,1.581,0.01,0.022,0.052,0.041,20.256,11.896,0.468,0.51,9.0,9.0,171.955,113.814,8,20.0,0,0,55.0,55.0,5.0,1
T0375593,1.654,0.941,5.408,4.196,0.265,0.242,1.125,0.885,45.805,27.755,4.9,28.248,23.806,0.189,0.178,0.341,0.07,0.329,0.249,0.071,0.046,0.295,0.265,14.945,3.334,5.544,1.231,0.089,0.011,0.042,0.037,36.518,10.197,0.482,0.522,9.0,8.0,169.305,112.118,8,20.0,0,0,55.0,55.0,5.0,1
T0375593,1.566,0.776,5.442,4.15,0.28,0.245,1.116,0.909,53.754,27.404,4.84,27.772,22.837,0.197,0.186,0.41,0.073,0.375,0.186,0.087,0.021,0.249,0.183,13.414,1.693,1.745,1.313,0.007,0.014,0.052,0.173,21.838,8.134,0.558,0.544,8.0,7.0,169.702,111.113,8,20.0,0,0,55.0,55.0,5.0,1
T0375593,1.55,1.02,5.529,4.174,0.25,0.235,1.148,0.869,47.4,27.864,5.3,28.913,24.027,0.191,0.176,0.435,0.356,0.581,0.306,0.01,0.097,0.237,0.216,6.789,17.959,1.531,1.707,0.015,0.019,0.194,0.018,25.932,14.931,0.513,0.536,7.0,8.0,175.554,115.495,8,20.0,0,0,55.0,55.0,5.0,1
T0375593,1.614,0.88,5.424,4.416,0.265,0.23,1.183,0.957,54.576,27.401,4.84,29.124,23.289,0.191,0.188,0.428,0.154,0.509,0.323,0.102,0.039,0.295,0.257,14.907,9.524,1.605,4.529,0.014,0.07,0.048,0.172,23.173,24.805,0.522,0.519,7.0,9.0,169.23,116.599,8,20.0,0,0,55.0,55.0,5.0,1
T0375593,1.543,0.827,5.489,4.019,0.265,0.25,1.217,0.885,53.832,26.68,4.86,28.831,23.827,0.194,0.163,0.412,0.093,0.333,0.419,0.019,0.022,0.244,0.147,6.101,3.572,2.459,0.942,0.017,0.018,0.027,0.029,22.064,10.326,0.5,0.504,9.0,9.0,172.019,104.628,8,20.0,0,0,55.0,55.0,5.0,1
T0375593,1.354,0.952,5.3,4.248,0.275,0.235,1.226,0.935,55.443,27.74,4.87,29.297,23.518,0.184,0.184,0.413,0.108,0.47,0.176,0.042,0.016,0.241,0.14,6.662,2.036,2.333,1.55,0.018,0.017,0.032,0.032,26.267,6.913,0.514,0.52,9.0,9.0,168.938,115.246,8,20.0,0,0,55.0,55.0,5.0,1
T0375593,1.54,0.846,5.693,4.184,0.25,0.245,1.167,0.896,45.595,28.19,5.12,29.58,23.876,0.194,0.175,0.43,0.103,0.527,0.299,0.015,0.027,0.177,0.217,12.816,1.212,5.428,1.263,0.038,0.016,0.05,0.034,44.958,9.433,0.528,0.516,9.0,9.0,178.805,112.761,8,20.0,0,0,55.0,55.0,5.0,1
T0379974,1.696,1.88,7.1,6.058,0.138,0.112,1.543,1.716,16.014,6.994,4.31,14.686,9.302,0.504,0.648,0.151,0.196,0.414,0.38,0.006,0.009,0.409,0.282,1.581,1.599,0.58,1.149,0.023,0.089,0.016,0.013,9.156,9.57,0.255,0.255,6.0,6.0,115.508,59.489,10,6.5,1,1,24.0,24.0,5.0,1
T0379974,1.347,1.403,7.04,5.674,0.158,0.143,1.236,1.404,18.42,8.634,3.43,14.125,9.215,0.506,0.619,0.174,0.214,0.267,0.252,0.006,0.005,0.307,0.131,1.532,0.73,0.778,0.606,0.027,0.049,0.013,0.006,7.999,4.708,0.249,0.243,6.0,6.0,113.432,58.56,10,6.5,1,1,24.0,24.0,5.0,1
T0379974,1.48,1.791,7.195,5.986,0.143,0.12,1.69,1.642,17.155,7.64,4.78,14.018,9.212,0.514,0.65,0.182,0.172,0.461,0.287,0.013,0.01,0.313,0.293,1.455,0.806,1.061,0.899,0.057,0.069,0.013,0.015,7.393,5.811,0.265,0.263,16.0,16.0,113.076,60.176,10,6.5,1,1,24.0,24.0,5.0,1
T0379974,1.671,1.93,7.23,6.015,0.143,0.12,1.49,1.675,16.703,7.79,4.88,14.337,8.89,0.501,0.688,0.199,0.17,0.279,0.368,0.009,0.01,0.293,0.298,1.23,0.928,0.907,1.034,0.042,0.087,0.013,0.011,6.848,5.914,0.263,0.259,16.0,16.0,115.15,62.317,10,6.5,1,1,24.0,24.0,5.0,1
T0379974,1.6,1.95,7.124,5.983,0.14,0.115,1.586,1.642,16.743,7.582,5.07,14.374,9.504,0.494,0.638,0.146,0.138,0.3,0.234,0.006,0.008,0.286,0.329,0.888,0.748,0.776,0.865,0.039,0.071,0.01,0.01,5.258,5.322,0.265,0.263,16.0,16.0,114.225,62.066,10,6.5,1,1,24.0,24.0,5.0,1
T0379974,1.313,1.695,7.126,5.948,0.155,0.13,1.5,1.407,16.968,7.393,4.41,13.802,8.736,0.516,0.674,0.178,0.215,0.292,0.53,0.007,0.005,0.155,0.305,1.266,1.06,0.742,1.041,0.04,0.107,0.01,0.019,6.258,8.666,0.248,0.244,17.0,18.0,107.624,56.889,10,6.5,1,1,24.0,24.0,5.0,1
T0383729,1.608,1.485,8.808,7.602,0.27,0.24,1.103,1.491,78.871,38.87,4.64,28.677,19.139,0.314,0.399,0.242,0.223,0.588,0.249,0.018,0.012,0.228,0.236,3.757,3.382,1.41,1.164,0.026,0.029,0.017,0.011,17.555,8.607,0.438,0.442,9.0,9.0,282.011,160.546,6,20.0,1,1,40.0,54.0,5.0,0
T0383729,1.247,1.671,9.3,7.727,0.265,0.245,1.608,1.396,80.13,41.968,4.57,29.214,19.782,0.321,0.395,0.284,0.196,0.344,0.233,0.014,0.011,0.478,0.218,1.902,2.033,1.489,0.84,0.022,0.026,0.015,0.016,14.136,5.391,0.442,0.441,9.0,9.0,297.789,167.87,6,20.0,1,1,40.0,54.0,5.0,0
T0383729,1.558,1.526,9.124,7.668,0.26,0.245,1.379,1.404,81.105,40.592,4.56,29.081,18.896,0.315,0.402,0.216,0.239,0.213,0.324,0.015,0.013,0.361,0.195,3.825,3.064,1.609,1.11,0.02,0.03,0.021,0.014,12.203,10.127,0.442,0.438,9.0,9.0,296.511,162.935,6,20.0,1,1,40.0,54.0,5.0,0
T0383729,1.658,1.592,9.039,7.688,0.27,0.245,1.534,1.421,82.046,41.865,4.62,29.031,19.062,0.324,0.407,0.243,0.228,0.548,0.339,0.009,0.01,0.311,0.163,8.555,2.799,2.51,1.219,0.024,0.04,0.018,0.022,32.484,8.405,0.457,0.44,9.0,9.0,303.022,167.308,6,20.0,1,1,40.0,54.0,5.0,0
T0383729,1.7,1.757,9.362,7.757,0.25,0.228,1.331,1.645,77.912,38.06,4.88,29.227,19.133,0.322,0.412,0.281,0.328,0.435,0.149,0.008,0.023,0.365,0.195,20.596,4.52,7.287,1.103,0.275,0.029,0.014,0.006,78.545,7.76,0.46,0.457,9.0,8.0,303.651,167.095,6,20.0,1,1,40.0,54.0,5.0,0
T0390824,0.65,0.92,4.866,4.047,0.322,0.295,0.872,0.449,60.392,35.425,4.46,32.29,25.081,0.15,0.164,0.187,0.184,0.244,0.225,0.077,0.09,0.382,0.297,9.304,6.322,2.502,1.435,0.012,0.01,0.044,0.204,14.685,13.531,0.498,0.536,8.0,7.0,185.948,111.005,11,30.0,1,1,67.0,62.0,5.0,1
T0390824,1.031,1.141,4.891,4.429,0.255,0.22,0.96,0.981,51.379,31.644,5.49,33.576,27.143,0.138,0.167,0.18,0.199,0.263,0.128,0.021,0.011,0.085,0.168,2.697,2.513,1.941,1.936,0.01,0.014,0.017,0.028,12.432,9.576,0.568,0.56,7.0,7.0,195.439,138.181,11,30.0,1,1,67.0,62.0,5.0,1
T0390824,0.889,1.174,5.187,4.442,0.265,0.225,1.195,0.872,53.383,30.744,5.17,33.842,26.473,0.15,0.166,0.108,0.262,0.327,0.278,0.014,0.041,0.308,0.274,2.602,3.36,1.844,1.352,0.014,0.015,0.02,0.02,7.919,8.455,0.558,0.519,7.0,8.0,199.807,130.05,11,30.0,1,1,67.0,62.0,5.0,1
T0390824,0.825,1.141,4.802,4.404,0.268,0.23,0.925,0.896,52.353,31.91,5.3,33.78,26.602,0.143,0.164,0.255,0.134,0.853,0.188,0.018,0.015,0.358,0.128,16.196,1.529,9.768,1.382,0.121,0.012,0.023,0.023,60.8,6.314,0.568,0.544,8.0,7.0,191.612,136.69,11,30.0,1,1,67.0,62.0,5.0,1
T0391053,2.0,2.779,10.025,9.097,0.19,0.155,2.519,2.979,51.015,25.438,5.76,23.291,16.406,0.448,0.516,0.584,0.307,0.757,0.665,0.045,0.011,0.513,0.396,8.724,4.353,1.425,1.587,0.046,0.065,0.04,0.128,21.395,20.172,0.394,0.397,11.0,10.0,257.391,168.825,5,14.0,1,0,39.0,42.0,5.0,0
T0391053,1.996,2.78,10.109,9.161,0.182,0.145,3.479,2.979,48.312,25.736,6.17,23.27,17.443,0.433,0.525,0.426,0.354,0.702,0.459,0.047,0.006,0.644,0.499,9.268,3.839,0.609,1.95,0.029,0.061,0.02,0.131,17.147,21.785,0.416,0.425,10.0,9.0,258.66,175.593,5,14.0,1,0,39.0,42.0,5.0,0
T0391053,2.319,2.967,10.294,9.063,0.175,0.145,3.101,3.1,48.835,25.546,6.35,24.419,18.586,0.418,0.488,0.335,0.378,0.494,0.346,0.049,0.009,1.023,0.654,8.644,3.403,1.883,1.651,0.028,0.045,0.026,0.151,28.162,17.252,0.416,0.422,10.0,9.0,274.743,182.47,5,14.0,1,0,39.0,42.0,5.0,0
T0391053,2.123,3.242,9.717,9.03,0.172,0.14,3.02,2.992,46.87,25.691,6.34,23.927,17.451,0.41,0.491,0.561,0.476,0.745,0.791,0.05,0.011,0.708,0.53,9.946,4.42,2.284,1.476,0.071,0.062,0.03,0.13,27.63,20.625,0.411,0.43,10.0,9.0,246.634,177.177,5,14.0,1,0,39.0,42.0,5.0,0
T0391053,2.057,3.5,10.115,9.426,0.18,0.14,2.593,3.727,46.416,24.013,6.46,23.532,16.618,0.442,0.568,0.246,0.437,0.544,0.729,0.009,0.005,0.533,0.606,2.561,2.727,1.77,1.288,0.058,0.055,0.013,0.018,12.461,16.854,0.415,0.423,10.0,10.0,257.419,168.688,5,14.0,1,0,39.0,42.0,5.0,0
T0391053,2.136,3.04,10.084,8.953,0.17,0.14,3.152,2.929,46.884,26.742,6.32,24.858,18.578,0.398,0.508,0.395,0.452,0.585,0.563,0.01,0.008,0.718,0.544,2.32,3.482,0.842,1.144,0.017,0.045,0.011,0.013,20.207,15.785,0.409,0.411,10.0,10.0,267.613,179.817,5,14.0,1,0,39.0,42.0,5.0,0
T0398180,1.505,1.288,5.679,4.836,0.21,0.21,1.622,1.22,49.098,31.548,6.01,31.807,24.964,0.185,0.2,0.494,0.53,0.574,1.3,0.032,0.066,0.45,0.402,7.201,11.834,2.567,7.671,0.02,0.091,0.172,0.278,26.351,49.482,0.488,0.425,9.0,8.0,203.19,137.402,13,34.0,0,1,38.0,55.0,5.0,1
T0398180,1.629,1.167,5.921,5.272,0.215,0.225,1.477,1.742,46.519,35.229,6.14,33.147,26.183,0.186,0.211,0.469,0.237,0.486,0.574,0.009,0.021,0.546,0.457,3.03,7.378,1.417,1.901,0.019,0.026,0.189,0.252,13.349,20.728,0.536,0.275,7.0,9.0,211.451,152.215,13,34.0,0,1,38.0,55.0,5.0,1
T0398180,1.108,1.062,5.669,4.979,0.27,0.255,1.161,0.902,53.59,33.749,4.63,31.03,22.562,0.181,0.221,0.282,0.198,0.289,0.194,0.012,0.012,0.42,0.102,3.603,1.926,1.027,0.838,0.012,0.013,0.019,0.014,10.772,6.549,0.456,0.45,10.0,10.0,194.211,127.336,13,34.0,0,1,38.0,55.0,5.0,1
T0398180,0.991,1.121,5.666,4.766,0.295,0.255,1.06,0.92,57.0,34.178,4.55,30.256,24.13,0.186,0.199,0.283,0.113,0.357,0.273,0.026,0.02,0.399,0.168,4.28,2.259,1.789,1.174,0.019,0.018,0.018,0.029,8.774,5.824,0.438,0.442,10.0,10.0,190.0,128.243,13,34.0,0,1,38.0,55.0,5.0,1
T0398726,0.989,0.793,3.459,2.877,0.17,0.135,0.912,0.85,13.308,5.542,4.07,18.291,12.507,0.182,0.228,0.296,0.102,0.207,0.344,0.053,0.01,0.212,0.171,1.576,1.029,1.704,1.667,0.018,0.037,0.023,0.027,9.131,7.072,0.298,0.288,15.0,15.0,73.932,40.361,5,9.4,1,1,42.0,27.0,5.0,0
T0398726,1.483,0.958,3.594,3.092,0.13,0.112,1.212,1.08,11.761,5.774,5.21,19.929,13.916,0.182,0.22,0.397,0.349,0.308,0.401,0.027,0.023,0.349,0.248,1.312,1.605,1.335,3.34,0.013,0.249,0.026,0.027,9.872,12.283,0.327,0.325,13.0,14.0,79.492,48.112,5,9.4,1,1,42.0,27.0,5.0,0
T0398726,1.162,0.753,3.46,2.957,0.16,0.125,0.918,0.85,12.621,5.825,4.35,19.157,12.977,0.175,0.227,0.212,0.085,0.145,0.273,0.018,0.006,0.161,0.157,1.005,0.94,1.802,1.35,0.014,0.018,0.017,0.019,8.392,6.63,0.295,0.288,15.0,15.0,75.14,42.777,5,9.4,1,1,42.0,27.0,5.0,0
T0398726,1.264,0.831,3.526,3.078,0.148,0.12,1.112,0.982,12.462,5.96,4.64,18.798,13.46,0.188,0.232,0.258,0.078,0.218,0.146,0.021,0.008,0.191,0.096,1.134,0.512,1.453,0.735,0.017,0.017,0.016,0.02,6.943,3.151,0.308,0.308,14.0,13.0,77.876,46.55,5,9.4,1,1,42.0,27.0,5.0,0
T0398726,1.003,0.771,3.402,2.877,0.168,0.135,0.803,0.785,12.876,5.804,4.08,18.521,12.912,0.18,0.22,0.173,0.078,0.15,0.187,0.016,0.011,0.151,0.153,1.129,0.319,1.576,0.578,0.015,0.024,0.016,0.016,6.526,1.856,0.276,0.274,16.0,15.0,71.976,41.274,5,9.4,1,1,42.0,27.0,5.0,0
T0398726,1.304,0.869,3.566,3.122,0.148,0.125,1.042,0.942,12.428,5.748,4.64,18.636,13.148,0.182,0.23,0.26,0.073,0.181,0.167,0.025,0.009,0.226,0.13,1.404,0.566,1.562,0.764,0.013,0.021,0.019,0.017,8.315,2.627,0.296,0.296,14.0,14.0,75.264,44.127,5,9.4,1,1,42.0,27.0,5.0,0
T0398726,1.012,0.746,3.378,2.927,0.165,0.135,0.888,0.729,12.784,5.914,4.21,19.285,13.168,0.177,0.223,0.114,0.103,0.137,0.164,0.014,0.012,0.114,0.099,0.993,0.5,1.308,0.422,0.013,0.018,0.011,0.01,6.177,1.56,0.286,0.282,15.0,15.0,75.047,41.317,5,9.4,1,1,42.0,27.0,5.0,0
T0398726,1.22,0.785,3.486,3.035,0.155,0.13,1.017,0.785,12.76,5.859,4.38,19.04,13.273,0.178,0.231,0.203,0.069,0.143,0.281,0.017,0.006,0.167,0.158,1.356,0.804,1.632,2.056,0.018,0.118,0.012,0.013,6.792,6.174,0.295,0.291,15.0,15.0,75.059,43.891,5,9.4,1,1,42.0,27.0,5.0,0
T0398726,0.958,0.738,3.326,2.809,0.175,0.14,0.823,0.693,13.372,6.19,3.81,18.902,12.964,0.176,0.215,0.151,0.095,0.147,0.18,0.02,0.018,0.136,0.096,1.093,0.594,1.05,0.695,0.013,0.024,0.015,0.018,4.561,1.829,0.282,0.268,16.0,16.0,72.278,41.508,5,9.4,1,1,42.0,27.0,5.0,0
T0398726,1.157,0.771,3.512,2.995,0.155,0.125,0.961,0.869,12.545,5.69,4.51,18.496,13.366,0.189,0.224,0.235,0.127,0.152,0.328,0.015,0.012,0.171,0.18,1.37,1.345,1.962,2.472,0.018,0.06,0.013,0.02,9.758,9.758,0.298,0.289,15.0,15.0,75.829,44.297,5,9.4,1,1,42.0,27.0,5.0,0
T0399034,1.221,0.911,5.148,3.875,0.215,0.185,1.116,1.195,41.411,25.201,6.39,31.996,29.336,0.162,0.133,0.224,0.156,0.291,0.326,0.008,0.012,0.657,0.243,3.037,2.565,2.427,1.135,0.019,0.01,0.035,0.033,13.444,12.362,0.535,0.547,8.0,8.0,186.46,130.188,5,29.2,0,1,62.0,48.0,5.0,1
T0399034,0.788,0.705,5.01,3.842,0.25,0.215,1.326,0.922,46.484,26.692,5.34,32.166,28.193,0.161,0.132,0.168,0.105,0.27,0.334,0.015,0.022,0.325,0.229,2.301,1.613,1.349,0.846,0.012,0.011,0.035,0.036,5.9,10.835,0.5,0.494,9.0,9.0,178.744,118.717,5,29.2,0,1,62.0,48.0,5.0,1
T0399034,0.962,0.918,5.054,3.98,0.245,0.208,1.272,0.851,46.692,27.111,5.63,33.002,28.487,0.153,0.138,0.172,0.141,0.137,0.131,0.004,0.009,0.41,0.102,2.154,1.334,1.202,0.821,0.007,0.005,0.01,0.012,7.587,5.156,0.512,0.511,8.0,8.0,187.245,126.944,5,29.2,0,1,62.0,48.0,5.0,1
T0399034,0.968,0.766,4.991,3.866,0.25,0.22,1.4,0.9,46.903,26.429,5.52,31.617,27.872,0.158,0.135,0.127,0.064,0.271,0.262,0.081,0.009,0.496,0.154,5.184,1.445,3.186,1.067,0.016,0.012,0.023,0.012,20.779,7.097,0.502,0.502,9.0,8.0,178.428,118.768,5,29.2,0,1,62.0,48.0,5.0,1
T0399034,0.837,0.85,5.017,3.912,0.248,0.215,1.536,0.963,45.146,27.244,5.53,32.586,29.212,0.16,0.135,0.117,0.078,0.361,0.108,0.014,0.013,0.247,0.212,1.743,2.356,1.438,3.011,0.014,0.018,0.016,0.039,9.654,14.169,0.511,0.506,8.0,9.0,180.589,129.271,5,29.2,0,1,62.0,48.0,5.0,1
T0399034,0.766,0.76,4.895,3.544,0.255,0.238,1.527,0.706,46.83,26.589,4.85,31.123,26.356,0.154,0.138,0.195,0.148,0.333,0.353,0.041,0.03,0.391,0.254,11.753,1.928,6.72,1.351,0.079,0.013,0.055,0.052,39.17,12.671,0.458,0.437,10.0,10.0,174.209,106.364,5,29.2,0,1,62.0,48.0,5.0,1
T0400193,4.116,2.346,14.43,10.64,0.2,0.188,5.948,3.092,98.194,34.776,5.9,28.127,18.208,0.519,0.534,1.521,0.375,0.867,1.063,0.085,0.011,2.168,0.606,30.934,17.053,1.928,4.149,0.036,0.094,0.019,0.179,46.343,76.475,0.425,0.419,10.0,8.0,472.465,191.509,6,30.6,1,1,44.0,43.0,5.0,1
T0400193,4.083,2.381,14.918,10.601,0.182,0.18,7.636,3.52,98.052,42.422,6.21,30.295,19.066,0.492,0.526,0.959,0.813,1.442,1.17,0.082,0.013,3.723,0.896,28.218,17.447,2.061,3.821,0.049,0.044,0.012,0.012,54.039,82.923,0.44,0.428,10.0,9.0,518.236,212.108,6,30.6,1,1,44.0,43.0,5.0,1
T0400193,4.327,2.438,15.282,11.0,0.18,0.192,10.69,2.916,104.551,52.698,6.15,29.076,21.229,0.517,0.517,1.061,0.847,1.151,1.682,0.017,0.061,2.439,0.744,7.148,38.333,2.014,4.308,0.043,0.053,0.139,0.136,45.936,96.091,0.44,0.436,9.0,10.0,578.957,270.632,6,30.6,1,1,44.0,43.0,5.0,1
T0401196,4.207,3.379,13.555,10.603,0.185,0.16,2.992,2.682,66.268,31.174,5.59,23.367,15.993,0.622,0.693,1.801,2.786,2.464,1.509,0.03,0.025,3.738,0.76,24.361,4.625,7.29,2.478,0.488,0.125,0.127,0.194,123.868,53.339,0.376,0.392,11.0,11.0,355.799,181.301,8,15.0,1,0,37.0,39.0,5.0,1
T0401196,4.086,3.334,13.845,11.272,0.202,0.165,2.583,2.629,74.393,35.07,4.97,22.303,16.931,0.603,0.663,1.018,0.34,0.407,0.499,0.013,0.013,0.539,0.315,5.692,2.872,1.484,0.717,0.05,0.049,0.024,0.025,20.417,10.499,0.362,0.356,12.0,12.0,339.75,203.7,8,15.0,1,0,37.0,39.0,5.0,1
T0401196,2.158,2.738,13.131,10.323,0.235,0.21,2.4,1.919,77.353,38.854,4.07,22.01,16.088,0.59,0.664,2.222,0.534,0.839,0.704,0.059,0.038,0.95,0.668,10.202,6.346,1.155,0.707,0.032,0.047,0.047,0.052,34.385,17.079,0.345,0.34,13.0,13.0,322.306,187.6,8,15.0,1,0,37.0,39.0,5.0,1
T0401196,3.163,3.129,13.992,11.412,0.19,0.18,3.453,2.584,69.236,38.224,4.86,22.4,16.754,0.616,0.688,0.952,0.501,1.021,0.755,0.058,0.016,0.942,0.394,12.174,3.78,1.17,0.941,0.052,0.07,0.024,0.108,24.448,12.915,0.365,0.348,12.0,11.0,349.037,212.505,8,15.0,1,0,37.0,39.0,5.0,1
